province,PM2.5,PM10,SO2,NO2,CO,O3,AQI,PR,PCDI,GRDP,PGDP,EDUL,UGA,TAAA,FEC,NGC,EC,TSI,CVO,RAAT,RAAP,RAAWS
Hubei,43,67,10,28,0.95,88,74,5917.0,25815.0,42022.0,71097.0,7058.0,9.31,330.66,15578.070000000003,62.7,2071.43,17573.9,772.4,17.33,3.58,2.15
Hunan,38,61,11,24,0.933,82,66,6635.0,25241.0,36329.7,54763.0,6179.0,7.24,584.32,14364.500000000002,30.47,1745.24,13904.1,780.96,17.45,3.52,2.64
Guangdong,29,45,10,25,0.742,88,58,12348.0,35810.0,99945.2,81625.0,10672.0,48.54,270.46,27789.45,190.64,6323.35,41398.5,2116.28,22.55,5.43,2.42
Guangxi,33,52,12,20,0.867,76,55,4947.0,21485.0,19627.8,39837.0,2596.0,9.21,247.8,10851.490000000002,22.68,1703.04,6692.9,588.42,21.53,4.18,2.32
Hainan,16,29,4,11,0.55,67,37,982.0,24579.0,4910.7,50263.0,1174.0,1.74,10.5,2555.34,44.27,326.78,1053.1,126.9,25.25,6.79,2.58
Chongqing,36,58,9,40,0.853,70,69,3163.0,26386.0,21588.8,68460.0,3594.0,6.48,270.0,,99.5,1118.79,8842.2,419.1,17.58,3.34,2.06
Sichuan,34,55,11,27,0.75,84,64,8321.0,22461.0,42902.1,51658.0,8252.0,11.35,436.82,11400.53,237.0,2459.49,16056.9,1098.17,11.43,2.79,2.09
Guizhou,23,42,12,19,0.717,71,47,3822.0,18430.0,15353.2,40271.0,2488.0,5.16,346.68,,30.82,1482.12,5506.2,478.98,16.48,2.68,1.8
Yunnan,19,36,10,16,0.708,77,44,4703.0,20084.0,20880.6,44446.0,3635.0,4.64,374.8,10656.73,13.0,1679.08,7267.5,677.5,17.05,3.42,2.12
Tibet,12,28,6,11,0.567,86,48,354.0,17286.0,1548.4,44051.0,203.0,0.6,75.04,,,69.02,582.7,51.45,5.19,1.88,2.3
Shaanxi,42,78,15,37,1.0,89,78,3931.0,22528.0,23941.9,61115.0,5168.0,7.13,348.09,10257.25,105.52,1594.17,11215.3,616.8,13.22,3.3,2.42
Gansu,24,54,16,24,0.683,92,56,2515.0,17488.0,8104.1,32178.0,2517.0,2.72,392.77,4076.120000000001,31.17,1289.52,2761.6,315.07,8.28,2.43,2.93
Qinghai,21,42,15,21,0.892,92,53,587.0,20757.0,2748.0,46854.0,652.0,0.67,205.9,13308.490000000002,51.25,738.34,1093.7,109.87,2.1,1.94,2.57
Ningxia,25,57,20,26,0.75,95,58,710.0,22400.0,3510.2,49614.0,680.0,2.51,100.06,23033.680000000004,20.96,1064.85,1488.1,144.78,10.89,3.32,2.07
Xinjiang,32,68,10,25,0.967,80,64,2520.0,21500.0,12809.4,51238.0,3166.0,7.29,243.79,,130.85,2686.48,4657.2,396.7,9.35,1.39,2.45
