数据库：分省年度数据
指标：粮食单位面积产量(公斤/公顷)
时间：最近20年
地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
重庆市,5348.96,5317.73,5287.69,5200.76,5130.52,5123.47,5086.39,5092.97,5152.18,5132.49,5218.92,4952.49,3750.41,4670.49,4548.09,4403.00,4148.14
四川省,5576.03,5544.99,5515.42,5400.18,5319.76,5320.73,5229.35,5243.95,5137.66,5022.38,4854.24,4713.17,4429.89,4891.36,4858.64,4781.52,4713.28
贵州省,3867.22,4069.88,4049.27,3891.70,3767.78,3480.43,3827.64,3045.73,3576.72,3781.95,3795.50,3744.60,3660.06,3748.07,3784.99,3655.05,3362.08
云南省,4456.84,4421.51,4320.23,4271.02,4235.24,4109.13,4002.86,3868.18,3631.57,3700.39,3697.79,3666.06,3623.95,3561.25,3629.94,3615.70,3424.38
西藏自治区,5652.78,5738.33,5511.87,5625.24,5553.85,5465.97,5553.67,5508.67,5359.98,4852.92,5569.69,5463.97,5381.30,5256.64,5339.56,5195.78,5034.84
陕西省,4078.54,3955.11,4020.29,3990.43,3906.51,3922.61,3990.36,3838.44,3706.92,3621.08,3554.41,3449.34,3381.38,3195.56,3318.34,3101.06,2960.08
甘肃省,4352.80,4177.68,4163.12,4251.48,4210.24,4062.24,3996.84,3688.56,3485.17,3342.07,3330.23,3066.09,3109.27,3234.75,3179.20,3158.04,2977.37
青海省,3664.23,3629.21,3680.34,3710.57,3749.96,3663.03,3632.99,3708.61,3731.03,3750.53,3957.37,3698.53,3305.26,3797.70,3615.45,3500.00,3206.88
宁夏回族自治区,5336.29,5121.73,5162.85,5117.12,5170.63,4939.10,4759.75,4396.86,4373.02,4230.43,4073.18,3830.83,4063.17,3863.98,3669.38,3354.82,3426.40
新疆维吾尔自治区,6776.91,6467.01,6453.85,7885.95,7596.79,7651.90,7057.10,6959.18,6730.08,6576.76,6368.93,6116.09,5915.01,5872.19,5633.35,5630.85,5516.93
注：根据第三次全国农业普查结果，对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
