数据库：分省年度数据
指标：水库数(座)
时间：最近20年
地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
湖北省,6935.00,6935.00,6946.00,6967.00,6831.00,6556.00,6546.00,6544.00,5902.00,5866.00,5848.00,5801.00,5794.00,5769.00,5802.00,5807.00,5827.00,5825.00,5835.00
湖南省,14047.00,14047.00,14092.00,14098.00,14098.00,14097.00,14094.00,14089.00,12288.00,12251.00,12092.00,11824.00,11815.00,11466.00,13325.00,13326.00,13261.00,13295.00,13287.00
广东省,8352.00,8352.00,8394.00,8389.00,8392.00,8397.00,8403.00,8410.00,7486.00,7475.00,7437.00,7424.00,7059.00,6874.00,6621.00,6610.00,6629.00,6616.00,6624.00
广西壮族自治区,4536.00,4536.00,4537.00,4537.00,4540.00,4545.00,4545.00,4544.00,4348.00,4349.00,4367.00,4370.00,4371.00,4364.00,4386.00,4327.00,4383.00,4367.00,4380.00
海南省,1105.00,1105.00,1109.00,1110.00,1110.00,1112.00,1111.00,1094.00,1035.00,996.00,996.00,995.00,995.00,995.00,995.00,990.00,988.00,1015.00,1013.00
重庆市,3083.00,3083.00,3076.00,3057.00,3042.00,3003.00,2994.00,2982.00,2907.00,2852.00,2840.00,2831.00,2825.00,2812.00,2801.00,2752.00,2766.00,2753.00,2748.00
四川省,8220.00,8220.00,8239.00,8129.00,8117.00,8093.00,8086.00,8081.00,6768.00,6759.00,6759.00,6752.00,6728.00,6717.00,6685.00,6683.00,6684.00,6673.00,6668.00
贵州省,2431.00,2431.00,2414.00,2386.00,2360.00,2343.00,2314.00,2316.00,2084.00,2087.00,2073.00,2069.00,2032.00,2001.00,1967.00,1961.00,1940.00,1950.00,1932.00
云南省,6769.00,6769.00,6702.00,6493.00,6347.00,6230.00,6101.00,6060.00,5634.00,5593.00,5558.00,5517.00,5477.00,5405.00,5401.00,5370.00,5326.00,5298.00,5267.00
西藏自治区,122.00,122.00,116.00,117.00,110.00,105.00,102.00,97.00,73.00,75.00,75.00,64.00,64.00,64.00,58.00,50.00,50.00,16.00,112.00
陕西省,1101.00,1101.00,1102.00,1101.00,1098.00,1095.00,1092.00,1110.00,1045.00,1041.00,1021.00,1012.00,1001.00,996.00,995.00,999.00,1000.00,1024.00,1053.00
甘肃省,387.00,387.00,388.00,383.00,383.00,381.00,382.00,377.00,313.00,318.00,313.00,311.00,288.00,287.00,273.00,272.00,270.00,289.00,288.00
青海省,198.00,198.00,207.00,206.00,200.00,203.00,200.00,199.00,158.00,157.00,157.00,157.00,157.00,154.00,154.00,152.00,152.00,152.00,152.00
宁夏回族自治区,327.00,327.00,327.00,322.00,321.00,321.00,311.00,311.00,266.00,254.00,226.00,224.00,223.00,214.00,202.00,198.00,201.00,206.00,199.00
新疆维吾尔自治区,662.00,662.00,674.00,683.00,679.00,671.00,652.00,646.00,582.00,576.00,575.00,577.00,575.00,492.00,490.00,501.00,498.00,503.00,489.00
注：大型水库库容：1亿立方米以上；中型水库库容：1千万至1亿立方米；小型水库库容：10万至1千万立方米。
数据来源：国家统计局
